product,symptom,cause
C-CB31H,白黒カメラを赤外カメラにする方法,"Ｑ：
C-CB31H などの白黒カメラを赤外カメラとして使用したい場合の方法（手順？）
について教えてください。

Ａ：
白黒カメラを赤外カメラとして使用する場合、特に改造する点はありません。
ただし、下記２点に注意してください。

①レンズの屈折率の関係で、光源が可視光か赤外光かでピントの位置が変わっ
てくるので、必ず赤外光下でピントを調整する必要がある。
②CCDの性質により、可視光下で映した場合よりも映像の「シャープさ」に欠
ける傾向にある。

普段あまりお話をしておりませんが、ＣＣＤには近赤外（波長約1000nm位）まで感度があります。従いまして赤外投光器（C-AL10は波長945nm）などとそのままで使用可です。赤外カメラのC-CR11などは近赤外部分に感度のあるＣＣＤを用いておりましたが、部品生産中止のため、一般白黒カメラを赤外カメラの代用としております。若干従来に比べて感度が低下しますが、問題無いレベルと判断しております。
ただし、一点ご注意いただきたいのは、可視光と近赤外光ではレンズの焦点位置がずれます。
従いまして焦点位置がシビアに要求される場合には近赤外対応のレンズを使用してください。
ちなみに可視光（人間が見える波長は380nm紫～780nm赤と言われております）
以上よろしくお願いいたします。


Ｑ：
＞・・・焦点位置がシビアに要求される場合には近赤外対応のレンズを使用してください。

ＴＯＡの白黒カメラへの適合品を教えて下さい。

Ａ：
上記白黒カメラへの適合と書かれておりますが、通常はＴＯＡラインナップのレンズで問題ありません。
問題は、夜間は赤外投光器の照明しかないとかいう場合、特に長焦点（望遠）になればなるほど昼間の可視光領域と夜間の赤外領域で焦点位置がずれるので、昼間にフォーカスを調整すると夜間に焦点のずれが目立つということです。従いまして特にズームレンズは以前赤外カメラで使用していたＪ１６×９．５ＲＥＡ（ＩＡ－ＩＲ）などの近赤外対応のレンズが必要となります。"
C-CB20LA,画像が映らない,"1．故障個所、故障発生の推定原因    
　　メイン基板上の本体下ｹｰｽ止めネジ(2箇所)の先端の位置に該当する箇所(C212､R213周辺)
　　にネジの先端が食い込んだ跡があります｡またメイン基板自体も当該箇所を押さえつけら   
　　れたように反っていました｡     
　　出荷時のマウントベース(取付台）は下ケース側に取り付けられていますが、修理品は上ケ   
　　ース側に取付けられていました。設置時に取付位置を換えるために取付用ネジﾞを外し､再  
　　度下ケースを固定するためにこのネジ(2.5*8)を使用して止めたため、ネジ先端によってメ 
　　イン基板を損傷させたものと思われます｡   
    
２．ロットへの波及性、再発防止策    
　　ネジによる内部破損防止のための注意書を同梱し施工事故防止施策を講じています｡　　"
C-10MC,マイクの有効範囲(お客様からの問い合わせ),"『内容』
お客さんからの電話 で「ＴＯＡさんのワンケーブルカメラに付けるマイクあるやろ、あれ付けたカメラを天井に取り付けて、あのマイクで音拾うてＶＴＲに録画しようと思うてんねんけどな、どの位の範囲の音やったらきれいにとれる？・・マイクのスペックやら何たら数字はいらんわ、“どの位の範囲”だけでええから教えてくれるか。序でやけど、ドーム型に付いてるマイクも大体同じ程度やろ？」と言う御質問。

『回答』
フッっと虚を衝かれた様な御質問。慌ててカタログめくって見たが、Ａ－２のカタログにはスペックなんか何処にも無い。ＣＣＴＶの総合カタログに辛うじて、Ｃ－Ａ１０ＭＣのスペックあり。

   指向性   無指向性
   感度     １６６ｍＶ(入力音圧 ７４ｄＢ ＳＰＬ １ＫＨｚ)

これでは、失礼になるかもしれないが、お客さんには解らんだろう。Ｃ－ＣＣ１０ＺＤの方は、単に無指向性マイクのみの表示。

そこで、開発さんの方に、お客さんから言われたままの質問を入れた。

開発さんからの回答 「通常の話し声の内容を聞き取れる目安は、マイクから、約３ｍ位とお考え下さい。
５ｍ位になりますと、無指向性のマイクのためもあり、声は分かっても内容を聞き取るのは難しい状態になります。」と言うことでした。"
BC-900,電池挿入検出スイッチの接点不良,"BC-900電池挿入検出スイッチの接点不良が複数発生した場合の対処法

【対象品番】
　BC-900 :赤外線会議システム　充電器

【対象ロット】
　製造メーカーロット（底面貼付けシール）
　01509ロット(2015年9月生産)～01704ロット(2017年4月生産)　
　対象台数 950台

　※参考：製造メーカーロット(底面貼付けシール)

 


【症状】
　複数の充電口で充電されない。（充電ランプが光らない）
　電池を上から真っすぐに入れた状態でも発生したり、前後／左右に動かすと発生
　したりと接触不良が顕著になることがある。

【発生原因】
　電池挿入検出スイッチにフラックスが浸食したことによる接触不良。
　製造メーカーでハンダこてを通常タイプから窒素ガス噴出タイプのハンダこてに
　変更されたことが主たる要因。
　
【処置・対応】
　上記症状が発症した現場は、充電ユニット（BC900ｼﾞｭｳﾃﾞﾝKUﾃﾞﾝﾁｹｰｽﾂｷ）の故障と
　診断され【対象ロット】であるもののみ、この情報に該当する製品として充電ユニ
　ットを交換する。

【基板交換後の処置】
　この情報に該当し交換した充電ユニットは、仕入先への返却が必要なため、当該
　修理の完了報告書を添付し品質保証課／南氏へ送付してください。

　＜充電ユニット返送先＞
　〒665-0043
　兵庫県宝塚市高松町２－１
　ＴＯＡ株式会社　品質保証室　南宛
　TEL：0797-71-2214

 

【修理条件】
　この情報に該当する製品は、製造メーカーロット年月から3年間を無償対応とする。

【伝票処理】
　得意先コード：196407
　難易度　　　：46B
　特記２　　　：QC-900
　特記コード　：C1804
　用途目的　　：BC-900 電池挿入検出スイッチ接点不良
　※上記費用処理はCCSにて処理してください。"
BC-900,充電表示ＬＥＤが点灯せず充電できない事がある,"【症　状】 
　本体に８個あるバッテリー差込口の一部で
　　①充電表示ＬＥＤが点灯せず充電できない事がある。　
　　②充電を開始しても完了時にバッテリーへの充電電圧が加わったままとなり、
充電状態表示ＬＥＤが緑色（充電完了）に点灯しない。
この時バッテリー挿入のまま電源ＯＦＦすると電源表示ＬＥＤや充電状態
表示ＬＥＤが点灯したままとなる。

【原　因】
　バッテリー挿入時に充電基板パターン上にある充電端子の一部が基板表面の　　
　レジストを破り内部パターンとショートした場合に当該症状に至ります。

【対　象】
　・ロットNO.が０５Ｆ４０～０６Ｃ４０で末尾に「R]の表示が無い商品。
　・アフターサービス部門、TTSで処置済みの製品（青５Φのシール貼付け）

【処置方法】
　添付のファイルの要領書を参照願います。

【修理伝票への記入項目】
   ・手直し料金：　１台当たり　￥２，１００
　・難易度：０１Ｔ
　・識別区分 ：「７」
　・特記コード ：「Ｃ０６０３」
　・特記２　 ：「ＢＣ９００」

無償対応期間
　２００８年　５月まで。
　以後は有償対応とします。"
AR-72,交互録音時のカセット動作異常,"ＡＲ－７２について該当する不具合が発生した場合は、通常修理対応とし以下の対応をご案内いたします。

【症状】
デッキ１からデッキ２への移行時またはデッキ２からデッキ１への移行時に「ガチャガチャ」の異音を伴い
正常に録音移行ができない。また、録音が勝手に停止する。

【原因】
カセットメカ個体差の動作上のバラツキ（テープ走行時の回転ムラ）
バラツキによりカセットＡ面時とＢ面時の最終的なテープ走行量に微妙な差異が生じた場合に差異に対して
制御上で吸収対応できなくなり誤動作となり交互録音が正しく出来ない等の不具合症状になるものと考えら
れています。

【対応】
１）清掃

・使用テープは信頼性のある一般的なブランドメーカーのテープを使用してください。
・メカユニットのキャプスタン、ピンチローラ、ヘッドの清掃を行ってください。
・定期的なメカ清掃をおこなってください。


２）部品交換

・カセットデッキユニットの交換

　ＡＲ－７２にはカセットデッキユニットが２台実装されています。
　カセットデッキユニット自体は表示を無地とし共通にしていますが
　化粧板、操作銘板等を貼ることにデッキ１／デッキ２と使い分けます。
　デッキ１／デッキ２　それぞれに必要な部品は下表の通りです。

１）または、２）の対応でも改善しない場合は、お使いいただく時の予備作業として録音テープを機器にセットする際に１０回転程度巻取り（リーダーテープ部分を少し越えてまでの頭出し）をしていただくことにより、再発防止の確実性があがります。"
AR-71B,テープが取り出せない,"１．異常の状態
    カセットが実装定位置に入らず、録音または再生動作によりヘッド部が上昇したとき、カセットテープの
    ケースにヘッドが当たり録音・     再生できず、回転動作もせずに停止します。
    その状態は、ヘッドが上昇途中で停止したために初期状態まで下降せず、カセットを押し上げた状態で
    停止しています。そのためにカセットテープは録音・再生動作と同じ状態で、取り出しボタンは押せなく
    なります。
    また、カセットテープはソニー製のものが多く発生します。
    （製造ロットは不定です）

２．原  因  
    カセット蓋に取り付けてある「カセット押さえバネ」のカセット押さえ面のバネ構造の寸法が指定寸法と
    約2mmほど足りないため、カセットテープを押さえる力が弱いのがが原因。
   
    カセットテープに当たるバネ面の寸法が足りないために、蓋を閉めたときにカセットテープを十分押し込
    むことができず、カセットテープが少し斜めになり、ヘッドが上昇時カセットテープのケースに当たり、動
   作停止後カセットテープが取り出せない不具合に至ります。
    ＳＯＮＹ製テープの発生頻度が高いのは、インデックス貼り付け用に表面の広い範囲で低く段差をつけ
    られており、カセットテープ実装時にカセット押さえバネがその段差の低い方に当たり、さらにテープが
    斜め方向に向きやすかったものと推察されます。

３．当面の処置
「カセット押さえバネ」を、カセット押さえ面がカセットに少し強く当たるように修正してください。
  正常な部品は入荷後ご連絡いたします。"
AR-71B,AR-71Bの取説の『連動出力』と『録音』の接続はしない,"SCS  CN-2000シリーズ  設置説明書 Ｐ４４ の補足説明資料です。

■ ＡＲー７１ＢとＣＮー２２００との接続
AR-71Bのリモート端子台と、CN-2200のAR制御コネクタの1-1から1-7をCN-2000の設置説明書44ページにあるように接続してください。
（2台目は2-1から2-7、3台目は3-1から3-7、4台目は4-1から4-7）
AR-71Bの取説にあるような、「連動出力」と「録音」の接続はしないで下さい。

CN-2000が正常に動作していて、かつパソコンで操作するときは、パソコンがAR-71Bの連動制御を行っています。
ですから、AR-71Bの取説に記載されているような接続ではなく、CN-2200の設置説明書の記載されている内容で、接続してください。
又、上記の接続でCN-2000の制御切替スイッチを手動にした時は、CN-2200が連動制御を行います。

■ 未使用のＡＲ制御コネクタの処理
CN-2200に有るAR制御コネクタの中でAR-71Bと接続しないものは、AR-71Bの接続台数により下表のように処理をしてください。




ＡR-71Bが2台、または3台の時は、CN-2200のAR制御コネクタの3、4または4が空きになるので、2番、6番ピンをショートさせたコネクタを取りつけてください。
この接続がない場合、CN-2000が手動で動作している時、最終のAR-71Bから先頭のAR-71Bへの連動制御ができません。

 "
AR-71B,再生時、長い無音部が出来る,"ＡＲ－７１Ｂに正規のテープ（Ｃー９０、Ｃー６０）を使っても、重複録音終了後、テープ残がかなりある。（ひどいのは、３０sec以上。テープ長さのバラツキの問題）  その位置から反転してＢ面の録音が始まるので、他のデッキで再生する場合、頭に長い無音（無録音）部が出来る。

録音時間、重複録音時間（７０ｓｅｃ）共、内臓のタイマーでカウントする方式です。又、メカ的にテープエンドを検出する方式でもありません。
内臓のタイマーもＩＣのクロックをカウントする方式で、固定したものですから、構造的にも調整は不可能です。"
"	H-R021-1, H-R041-2, H-R042-2, H-R081-4, H-R161-8, AH-R104P-2, AH-R104P2A, AH-R108-4, AH-R116-4, AH-R116-16, AH-R108PW2, AH-R116PW4",メイン画面シーケンスの継続等によるフリーズ,"AHDレコーダー、HD-SDIレコーダーで、メイン画面シーケンスの継続等によって
フリーズが起こった場合の対処法

【対象品番】
　H-R021-1：ＨＤ－ＳＤＩレコーダー ２局 １ＴＢ（生産完了品）
　H-R041-2：ＨＤ－ＳＤＩレコーダー ４局 ２ＴＢ（生産完了品）
　H-R042-2：ＨＤ－ＳＤＩレコーダー ４局 ２ＴＢ（生産完了品）
　H-R081-4：ＨＤ－ＳＤＩレコーダー ８局 ４ＴＢ（生産完了品）
　H-R161-8：ＨＤ－ＳＤＩレコーダー １６局 ８ＴＢ（生産完了品）

　AH-R104P-2：ＡＨＤレコーダー ４局２ＴＢ電源供給付（生産完了品）
　AH-R104P2A：ＡＨＤレコーダー ４局２ＴＢ電源供給付
　AH-R108-4 ：ＡＨＤレコーダー ８局４ＴＢ
　AH-R116-4 ：ＡＨＤレコーダー １６局　４ＴＢ
　AH-R116-16：ＡＨＤレコーダー １６局　１６ＴＢ
　AH-R108PW2：壁掛型ＡＨＤレコーダー ８局２ＴＢ
　AH-R116PW4：壁掛型ＡＨＤレコーダー １６局４ＴＢ

【対象ロット】
　H-R021-1：全て
　H-R041-2：全て
　H-R042-2：全て
　H-R081-4：全て
　H-R161-8：全て

　AH-R104P-2：全て
　AH-R104P2A：19D4000001～19F4000235
　AH-R108-4 ：17G4000001～19F4001050
　AH-R116-4 ：17G4000001～19E4001302
　AH-R116-16：18J4000001～19F4000085
　AH-R108PW2：18C4000001～19F4000543
　AH-R116PW4：19B4000001～19F4000055

【症状】
　カメラ複数台でメイン画面を短サイクルで切り替わる設定（例えばカメラ2台を3秒間隔で
　シーケンス表示）の条件で数日間連続運転すると、機器が操作できなくなることがある。
　また、ID、パスワード、IPアドレス等の設定情報が工場出荷設定に戻る場合がある。

【発生原因】
　原因は特定できないが、メイン基板に搭載されるNANDフラッシュメモリに保管された
　ファイル管理情報が破損していたことから、このファイル管理情報の破損要因として
　以下が考えられる。
　①症状に記載されたような使用条件（＝メイン画面の短サイクルでの切替）は、高頻度な
　　NANDフラッシュメモリのデータ更新を伴うため、NANDフラッシュメモリの寿命に影響を
　　与える。
　②外来ノイズ

【対策】
　ファームウェアを更新する。
　品番 　 ：対策バージョン
　H-R021-1：Ver.1.2.4
　H-R041-2：Ver.1.0.4
　H-R042-2：Ver.1.0.6
　H-R081-4：Ver.1.0.6
　H-R161-8：Ver.1.0.6

　AH-R104P-2：Ver.2.2.2
　AH-R104P2A：Ver.2.3.2
　AH-R108-4 ：Ver.1.2.2
　AH-R116-4 ：Ver.1.2.2
　AH-R116-16：Ver.3.2.2
　AH-R108PW2：Ver.1.2.2
　AH-R116PW4：Ver.1.2.2

【処置・対応】
　当該症状発生時は修理対応とし、メイン基板を交換する。
　※シーケンス表示が設定され【対象ロット】である発症レコーダーをこの品質情報に該当
　　する製品とし処置を行う。
　※交換した基板のバージョンを確認し、対策バージョンでなかった場合は対策バージョン
　　へファームアップを行う。
　他の要因で修理対応した機器は対策ファームウェアへ変更する。

【交換部品】
　部品番号：Z3809　　　　　 部品名：HR021 MAIN KU　 　　　　　　　製品品番：H-R021-1
　部品番号：770100002700　部品名：HR041 MAIN BOARD UNIT 4CH　製品品番：H-R041-2
　部品番号：770100029600　部品名：HR042 MAIN BOARD UNIT 4CH　製品品番：H-R042-2
　部品番号：770100024300　部品名：HR081 MAIN BOARD UNIT 　　　製品品番：H-R081-4
　部品番号：770100024200　部品名：HR161 MAIN SUB BOARD UNIT　製品品番：H-R161-8

　部品番号：770100048600   部品名：AHR104 MAIN UNIT　　　　　　 　　  製品品番：AH-R104P-2
　部品番号：100030016601　部品名：CPU BOARD AH-R104P2A　　　 　　　製品品番：AH-R104P2A
　部品番号：100030013801　部品名：MOTHERBOARD AHR108 MAIN UNIT　製品品番：AH-R108-4
　部品番号：100030013905　部品名：MOTHERBOARD AHR116 MAIN UNIT　製品品番：AH-R116-4
　部品番号：770100050400　部品名：CPU BOARD AHR116M　　　　　　 　  製品品番：AH-R116-16
　部品番号：770100048700　部品名：AHR108 MAIN UNIT　　　　　　　　　 製品品番：AH-R108PW2
　部品番号：100030013905　部品名：MOTHERBOARD AHR116 MAIN UNIT　製品品番：AH-R116PW4

【対策ファームウェア】
※ＨＤ－ＳＤＩレコーダー

品　番	ファームウェア	
対策ファームウェア
Ver.

H-R021-1	FD02-TOA-1.2.4-12051	1.2.4
H-R041-2	FD04-TOA-1.0.4-12051	1.0.4
H-R042-2	FD04X-TOA-1.0.6-1912051	1.0.6
H-R081-4	FD08-TOA-1.0.6-1912051	1.0.6
H-R161-8	FD16-TOA-1.0.6-1912051	1.0.6
※ＡＨＤレコーダーの対策ファームウェアは、商品データダウンロードサイトから入手可能

【修理条件】
　納入後、原則３年未満は無償修理とする。
　納入から３年以上経ったものは有償修理とする。

【伝票処理】
　得意先コード：196407
　特記２　　　：QC20AHR
   特記コード　：C2001
　用途目的　　：H-R021-1/H-R041-2/H-R042-2/H-R081-4/H-R161-8、AH-R104P-2/AH-R104P2A/
　　　　　　　　AH-R108-4/AH-R116-4/AH-R116-16/AH-R108PW2/AH-R116PW4　フリーズ対策
　※上記費用処理はCCSにて処理してください。

 "
